[2025-01-27 14:58:26.605] [INFO]     [Main] Application starting...
[2025-01-27 14:58:26.607] [INFO]     [Main] GNS must Be Running...
[2025-01-27 14:58:26.607] [INFO]     [Main] Running as Server -> FESTO1...
The Global Name space is already in use. GNS or another global service is already running.
[2025-01-27 14:58:26.636] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 14:58:26.637] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 14:58:26.638] [DEBUG]    [Decoder] Initializing Decoder
[2025-01-27 14:58:26.640] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:26.641] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2025-01-27 14:58:26.641] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741830
[2025-01-27 14:58:26.642] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:26.643] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 14:58:26.644] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 14:58:26.645] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 14:58:26.645] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 14:58:26.646] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 14:58:26.647] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 14:58:26.648] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 14:58:26.648] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 14:58:26.650] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 14:58:26.651] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 14:58:26.652] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2025-01-27 14:58:26.653] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:26.654] [DEBUG]    [ActuatorController] SM_TYPE is ...1
[2025-01-27 14:58:26.655] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 14:58:26.655] [DEBUG]    [ActuatorController] SM_TYPE IS EJECTOR ...1
[2025-01-27 14:58:26.656] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController1
[2025-01-27 14:58:26.657] [TRACE]    [ActuatorController] 0: Replying to connection...
[2025-01-27 14:58:26.658] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:26.659] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 14:58:26.659] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 14:58:26.861] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2025-01-27 14:58:26.862] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 14:58:26.862] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 14:58:26.863] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:26.865] [DEBUG]    [FSMController] sorting Moduel on FST_1 ist EJECTOR!...0
[2025-01-27 14:58:26.866] [TRACE]    [Decoder] decode...
[2025-01-27 14:58:26.867] [TRACE]    [Decoder] LBR erkannt
[2025-01-27 14:58:26.867] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
[2025-01-27 14:58:26.868] [TRACE]    [FSMController] received PULSE_LBR_OPEN...0
[2025-01-27 14:58:30.154] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_1: 3713
[2025-01-27 14:58:30.154] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 1..3713
[2025-01-27 14:58:41.380] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:41.390] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:41.391] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 14:58:41.393] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController2
[2025-01-27 14:58:41.396] [DEBUG]    [FSMController] sorting Moduel on FST_2 is DIVERTER!...1
[2025-01-27 14:58:41.397] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 14:58:41.403] [TRACE]    [HeartBeat] 0: Replying to connection...
[2025-01-27 14:58:41.405] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST2)...
[2025-01-27 14:58:41.506] [DEBUG]    [HeartBeat] MessageReceiveOnce First Heartbeat!!
[2025-01-27 14:58:41.602] [TRACE]    [HeartBeat] MSGSENDER ONLINE AND OTHER FESTO FOUND...
