[2025-01-27 16:22:55.337] [INFO]     [Main] Application starting...
[2025-01-27 16:22:55.339] [INFO]     [Main] GNS must Be Running...
[2025-01-27 16:22:55.339] [INFO]     [Main] Running as Server -> FESTO1...
The Global Name space is already in use. GNS or another global service is already running.
[2025-01-27 16:22:55.368] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 16:22:55.369] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 16:22:55.370] [DEBUG]    [Decoder] Initializing Decoder
[2025-01-27 16:22:55.372] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:55.372] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2025-01-27 16:22:55.373] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741830
[2025-01-27 16:22:55.374] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:55.375] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 16:22:55.376] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 16:22:55.377] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 16:22:55.377] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 16:22:55.378] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 16:22:55.379] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 16:22:55.380] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 16:22:55.380] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 16:22:55.382] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 16:22:55.383] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 16:22:55.384] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2025-01-27 16:22:55.385] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:55.386] [DEBUG]    [ActuatorController] SM_TYPE is ...1
[2025-01-27 16:22:55.386] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 16:22:55.387] [DEBUG]    [ActuatorController] SM_TYPE IS EJECTOR ...1
[2025-01-27 16:22:55.387] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController1
[2025-01-27 16:22:55.388] [TRACE]    [ActuatorController] 0: Replying to connection...
[2025-01-27 16:22:55.389] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:55.390] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 16:22:55.391] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 16:22:55.593] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2025-01-27 16:22:55.594] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 16:22:55.594] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 16:22:55.596] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:55.597] [DEBUG]    [FSMController] sorting Moduel on FST_1 ist EJECTOR!...0
[2025-01-27 16:22:58.886] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_1: 3708
[2025-01-27 16:22:58.886] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 1..3708
[2025-01-27 16:22:59.249] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:59.259] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:59.260] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 16:22:59.261] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController2
[2025-01-27 16:22:59.265] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:22:59.266] [DEBUG]    [FSMController] sorting Moduel on FST_2 is DIVERTER!...1
[2025-01-27 16:22:59.272] [TRACE]    [HeartBeat] 0: Replying to connection...
[2025-01-27 16:22:59.273] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST2)...
[2025-01-27 16:22:59.373] [DEBUG]    [HeartBeat] MessageReceiveOnce First Heartbeat!!
[2025-01-27 16:22:59.470] [TRACE]    [HeartBeat] MSGSENDER ONLINE AND OTHER FESTO FOUND...
[2025-01-27 16:22:59.471] [TRACE]    [FSMController] received PULSE_RECONNECT_HEARTBEAT_FESTO(from FST1)...
[2025-01-27 16:22:59.476] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 16:23:02.766] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 2..2277
[2025-01-27 16:23:06.955] [TRACE]    [Decoder] decode...
[2025-01-27 16:23:06.955] [TRACE]    [Decoder] LBE erkannt
[2025-01-27 16:23:06.956] [TRACE]    [Decoder] Interrupt received entpacken und weitergabe an dispatcher...
