[2025-01-27 10:12:09.625] [INFO]     [Main] Application starting...
[2025-01-27 10:12:09.627] [INFO]     [Main] GNS must Be Running...
[2025-01-27 10:12:09.628] [INFO]     [Main] Running as Server -> FESTO1...
The Global Name space is already in use. GNS or another global service is already running.
[2025-01-27 10:12:09.657] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 10:12:09.658] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 10:12:09.659] [DEBUG]    [Decoder] Initializing Decoder
[2025-01-27 10:12:09.661] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 10:12:09.661] [DEBUG]    [Decoder] NAME_FLAG_ATTACH_GLOBAL: 2
[2025-01-27 10:12:09.662] [DEBUG]    [Decoder] dispatcherConnectionID: 1073741830
[2025-01-27 10:12:09.663] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 10:12:09.665] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR1_STOP
[2025-01-27 10:12:09.665] [TRACE]    [PositionTracker.onMotorSlow] [FST2] Motor Slow
[2025-01-27 10:12:09.666] [TRACE]    [FSMController] Sending pulse: PULSE_MOTOR2_STOP
[2025-01-27 10:12:09.667] [TRACE]    [FSMController] Sending pulse: PULSE_LR1_OFF
[2025-01-27 10:12:09.668] [TRACE]    [FSMController] Sending pulse: PULSE_LG1_OFF
[2025-01-27 10:12:09.668] [TRACE]    [FSMController] Sending pulse: PULSE_LG2_OFF
[2025-01-27 10:12:09.669] [TRACE]    [FSMController] Sending pulse: PULSE_LY1_OFF
[2025-01-27 10:12:09.669] [TRACE]    [FSMController] Sending pulse: PULSE_LR2_OFF
[2025-01-27 10:12:09.670] [TRACE]    [FSMController] Sending pulse: PULSE_LY2_OFF
[2025-01-27 10:12:09.671] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 10:12:09.673] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 10:12:09.673] [TRACE]    [ActuatorController] Connection to Dispatcher...
[2025-01-27 10:12:09.674] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 10:12:09.675] [DEBUG]    [ActuatorController] SM_TYPE is ...1
[2025-01-27 10:12:09.676] [TRACE]    [Dispatcher] received PULSE_SUBSCRIBE...
[2025-01-27 10:12:09.676] [DEBUG]    [ActuatorController] SM_TYPE IS EJECTOR ...1
[2025-01-27 10:12:09.677] [TRACE]    [Dispatcher] Connecting ActuatorController... actuatorController1
[2025-01-27 10:12:09.678] [TRACE]    [ActuatorController] 0: Replying to connection...
[2025-01-27 10:12:09.679] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 10:12:09.680] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 10:12:09.681] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 10:12:09.883] [TRACE]    [HeartBeat] MSGHANDLER ONLINE...
[2025-01-27 10:12:09.884] [TRACE]    [PulseMsgHandler] Creating GNS channel...
[2025-01-27 10:12:09.884] [TRACE]    [PulseMsgHandler] Created GNS channel...
[2025-01-27 10:12:09.886] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 10:12:09.887] [DEBUG]    [FSMController] sorting Moduel on FST_1 ist EJECTOR!...0
[2025-01-27 10:12:13.176] [DEBUG]    [HeightSensorControl] sending BANDHEIGHT_FST_1: 3670
[2025-01-27 10:12:13.176] [DEBUG]    [FSMController] received PULSE_BANDHEIGHT Festo 1..3670
[2025-01-27 10:12:13.569] [TRACE]    [Dispatcher] Replying to connection...
[2025-01-27 10:12:13.579] [TRACE]    [Dispatcher] Replying to connection...
